日期,項目名稱,現金收入,現金支出,現金餘額,帳戶收入,帳戶支出,帳戶餘額,總餘額
2025/12/22,114-1財務結算結餘,0,0,10808,0,0,59016,69824
2025/12/23,114-1期末社大餐費,0,2497,8311,0,0,59016,67327
2026/03/05,114-2期初社員大會零食,0,280,8031,0,0,59016,67047
2026/03/05,衛生紙,0,198,7833,0,0,59016,66849
2026/03/05,Chrome Web Store 開發人員帳號費用,0,161,7672,0,0,59016,66688
2026/03/19,電蚊拍,0,90,7582,0,0,59016,66598
2026/04/16,All Pass 糖期中考前祈福活動,0,377,7205,0,0,59016,66221
2026/04/27,新網域ntut.app,0,470,6735,0,0,59016,65751
2026/05/07,DB-9線,0,220,6515,0,0,59016,65531
2026/05/08,投影布幕,0,396,6119,0,0,59016,65135
2026/05/25,Tapo C210 網路攝影機,0,300,5819,0,0,59016,64835
